step,value
24001,0.1322780102
24002,0.06033350527
24003,0.05280375108
24004,0.06678754836
24005,0.06742428243
24006,0.07919567823
24007,0.03861569986
24008,0.08281052113
24009,0.05348912254
24010,0.08522572368
24011,0.05817960203
24012,0.05152694881
24013,0.06443952769
24014,0.07333970815
24015,0.08945503086
24016,0.04541132227
24017,0.06757645309
24018,0.06363986433
24019,0.05531051755
24020,0.08824555576
24021,0.07276268303
24022,0.1191653311
24023,0.08212672174
24024,0.04925271496
24025,0.08205711842
24026,0.0618025288
24027,0.07251814008
24028,0.06155957654
24029,0.05764066055
24030,0.1331606507
24031,0.06762194633
24032,0.07208877802
24033,0.06149607524
24034,0.06160686165
24035,0.07812935114
24036,0.02744969539
24037,0.07662217319
24038,0.05240200087
24039,0.05835985765
24040,0.09820888937
24041,0.06142356992
24042,0.06957990676
24043,0.06097994372
24044,0.06527264416
24045,0.07244999707
24046,0.07678359002
24047,0.07406356931
24048,0.07644393295
24049,0.1199274585
24050,0.06272733212
24051,0.07052055746
24052,0.07500127703
24053,0.06318136305
24054,0.100412026
24055,0.06013417616
24056,0.06951401383
24057,0.04361348599
24058,0.07787914574
24059,0.03843255714
24060,0.05594999716
24061,0.06602948159
24062,0.1018423885
24063,0.08685047179
24064,0.0686917156
24065,0.04133653641
24066,0.09680075943
24067,0.05861996114
24068,0.05902361125
24069,0.0680385232
24070,0.04290778935
24071,0.07778883725
24072,0.06507540494
24073,0.06285487115
24074,0.1054298878
24075,0.04400218651
24076,0.05720485747
24077,0.04788746685
24078,0.1169123203
24079,0.0645589903
24080,0.06606023014
24081,0.07284329087
24082,0.1118960902
24083,0.06357876211
24084,0.08040203154
24085,0.07590246201
24086,0.0436299853
24087,0.09286263585
24088,0.06435856223
24089,0.05318778008
24090,0.1126445234
24091,0.05082176998
24092,0.1101169214
24093,0.07589419186
24094,0.06570582837
24095,0.06245328858
24096,0.06750999391
24097,0.04231126234
24098,0.08026650548
24099,0.07078158855
24100,0.07179608196
24101,0.05051577464
24102,0.04787058383
24103,0.05906551331
24104,0.08772847056
24105,0.07270922512
24106,0.06447003782
24107,0.03560210392
24108,0.05891434476
24109,0.05946071073
24110,0.08388164639
24111,0.04760030285
24112,0.08969043195
24113,0.09136037529
24114,0.05152733624
24115,0.05713878199
24116,0.07189545035
24117,0.06731835753
24118,0.06208079681
24119,0.06339545548
24120,0.03010460734
24121,0.06375467777
24122,0.08958957344
24123,0.07376628369
24124,0.07183457911
24125,0.06497358531
24126,0.03649187461
24127,0.1957315505
24128,0.05656274036
24129,0.06699877977
24130,0.06965053827
24131,0.07666577399
24132,0.0563701503
24133,0.08147507906
24134,0.1135616452
24135,0.09522548318
24136,0.07809522748
24137,0.1075718105
24138,0.07258885354
24139,0.08389990777
24140,0.0803687945
24141,0.07636269182
24142,0.1072335988
24143,0.08154022694
24144,0.03567447513
24145,0.07818300277
24146,0.05505944043
24147,0.07528498024
24148,0.04897986725
24149,0.03910122439
24150,0.05234159902
24151,0.07363867015
24152,0.05602346361
24153,0.07397099584
24154,0.08124049008
24155,0.05969265848
24156,0.04426907748
24157,0.04780881107
24158,0.07886717469
24159,0.04344859719
24160,0.06860939413
24161,0.07229480892
24162,0.08133010566
24163,0.04823246598
24164,0.05699726194
24165,0.08842867613
24166,0.1058198735
24167,0.07161811739
24168,0.10506019
24169,0.05286567658
24170,0.08155889809
24171,0.03838473186
24172,0.06826040894
24173,0.0538960807
24174,0.05961657315
24175,0.06416667998
24176,0.1011773422
24177,0.05799529701
24178,0.07330534607
24179,0.07650308311
24180,0.06921747327
24181,0.07000222057
24182,0.09334684908
24183,0.07831910998
24184,0.05688701943
24185,0.07656154782
24186,0.07836133242
24187,0.03911763057
24188,0.06720005721
24189,0.09768431634
24190,0.06909044832
24191,0.06400579214
24192,0.04533372819
24193,0.1018547639
24194,0.1050219759
24195,0.04888616502
24196,0.0602325201
24197,0.05033069476
24198,0.08721823245
24199,0.03871561959
24200,0.05817826092
24201,0.1507788301
24202,0.05154535547
24203,0.07081204653
24204,0.07119614631
24205,0.07057499886
24206,0.2397800535
24207,0.08562978357
24208,0.1214106157
24209,0.1038060412
24210,0.07393885404
24211,0.07270980626
24212,0.1693917662
24213,0.0813959837
24214,0.05640134588
24215,0.07841455191
24216,0.09444589913
24217,0.06832262129
24218,0.06903347373
24219,0.07007019967
24220,0.06206981838
24221,0.07671403885
24222,0.0482560508
24223,0.08100375533
24224,0.08240289241
24225,0.04971800372
24226,0.05298532918
24227,0.04011289403
24228,0.087018013
24229,0.05476629734
24230,0.08148155361
24231,0.07576923072
24232,0.04001582041
24233,0.05326784775
24234,0.03557069972
