id,method,none_top1_l1,flow_top1_l1,no_video_top1_l1,wrong_top1_l1,none_best_k_l1,wrong_best_k_l1,none_psnr,no_video_psnr,wrong_psnr,none_ssim,wrong_ssim
O,Original VIAI-AV,0.06357629092390392,0.0645703206958368,0.0701737116100861,0.06754270119671808,0.06357629092390392,0.06754270119671808,22.25909983097239,21.472130567469495,21.71191761087864,0.9717985058033701,0.9695906481893586
A,EC-VIAI-AV Candidate-Scorer,0.05979893357552429,0.060657196866467276,0.06011446781872593,0.06110587536773466,0.05841958672402704,0.05966404516824541,22.602433973170342,22.491676482748478,22.42213589840747,0.9751551055923772,0.9738932038193077
B,Semantic Evidence Fine-Tuning,0.06266791307605168,0.06017355708048699,0.060791944614314336,0.06409283692235167,0.061178623029882924,0.061916728806186545,22.332093053675713,22.410468745738903,22.028405608014857,0.9714740342107459,0.9713607481889764
C,"Semantic Perturbation 5k, w=0.35",0.062353120051681046,0.05809614658256636,0.060879681289116756,0.06249006219862148,0.06040606435705373,0.05946714293825975,22.36182472553659,22.51558939446794,22.3141990874676,0.9727492655855557,0.9732349654080807
D,"Semantic Perturbation Final, w=0.35",0.061786916364539174,0.05955385210666251,0.06155444132758582,0.060250837464836685,0.05979948144584419,0.05758100189268589,22.39167202026286,22.440425479665716,22.627191087032887,0.9730748794767808,0.9739088544363953
E,No Wrong-Video Augmentation,0.062440596461454605,0.0605046230150347,0.05982814582579948,0.06316254711016378,0.06050074481940333,0.06066869247328252,22.266902398555835,22.58951484142466,22.160035168870966,0.972576106563964,0.9703874304987151
F,Heuristic-Only Perturbation,0.06009600068284,0.059094625450868875,0.05912294950177695,0.06011876083930281,0.05800916459609536,0.05747136537064897,22.522994939317094,22.708038829742595,22.585916615547017,0.9738489784828747,0.9747147588977897
G0.2,"Semantic Perturbation 5k, w=0.2",0.060408425175565036,0.059123501929632845,0.060386019446788,0.06061221886069534,0.05871212946132143,0.05845546499489153,22.61218976213577,22.539667953836158,22.52621839147933,0.9740447660160336,0.9743253719259541
G0.5,"Semantic Perturbation 5k, w=0.5",0.06137580300205724,0.05806186763530082,0.059215028151037526,0.0610614777344497,0.05958358642764072,0.05850360672821865,22.435666997381983,22.675088760700632,22.44041772598916,0.972661184384367,0.9730244887907182
