id,method,wrong_gate,no_video_gate,wrong_unc_spearman,none_unc_spearman
O,Original VIAI-AV,1.0,1.0,0.0,0.0
A,EC-VIAI-AV Candidate-Scorer,0.71319545421036,0.36740162211688276,0.32622179581240474,0.45660658050680064
B,Semantic Evidence Fine-Tuning,0.866813557618793,0.5283619837359862,0.3547541057621762,0.40931790733111345
C,"Semantic Perturbation 5k, w=0.35",0.5652151930027027,0.15165437319306063,0.45435092273830346,0.4700737061910943
D,"Semantic Perturbation Final, w=0.35",0.41339271426562496,0.08930261512602769,0.5481912071787347,0.5233697161239348
E,No Wrong-Video Augmentation,0.8830720687166174,0.061783583069398525,0.38165584965291494,0.4664360291212823
F,Heuristic-Only Perturbation,0.5373725340642194,0.053071089351160866,0.4557320390541227,0.5320625317455838
G0.2,"Semantic Perturbation 5k, w=0.2",0.5540727098086017,0.14023743393927554,0.4662624301597156,0.5108687849201422
G0.5,"Semantic Perturbation 5k, w=0.5",0.522629091744014,0.15764359758171115,0.5138416389186748,0.5305075907218241
